1688994410.295,58.594,341.309,103.516,41.016
1688994410.299,62.5,314.941,93.262,41.504
1688994410.303,61.523,324.219,86.914,44.922
1688994410.307,57.617,305.664,72.754,44.434
1688994410.311,51.758,271.484,51.27,36.133
1688994410.315,53.711,274.414,45.898,35.645
1688994410.319,49.805,256.348,48.34,41.992
1688994410.323,52.734,227.539,48.34,46.387
1688994410.327,56.152,236.328,56.641,49.316
1688994410.33,53.223,223.145,46.875,33.691
1688994410.334,52.734,213.867,37.109,26.367
1688994410.338,55.664,192.871,39.551,32.715
1688994410.342,45.898,170.41,21.484,32.715
1688994410.346,52.246,201.172,26.855,38.574
1688994410.35,59.57,216.797,50.781,25.391
1688994410.354,43.457,205.078,42.969,6.836
1688994410.358,29.297,204.102,26.855,0.977
1688994410.362,41.504,224.609,28.809,6.348
1688994410.366,54.688,226.562,33.691,19.043
1688994410.37,46.875,203.125,32.715,21.973
1688994410.373,49.805,190.43,34.18,21.973
1688994410.377,55.664,210.449,31.738,24.902
1688994410.381,55.176,211.426,20.02,27.832
1688994410.385,52.734,197.754,19.043,28.32
1688994410.389,44.434,195.801,36.133,8.301
1688994410.393,36.621,202.637,43.457,1.953
1688994410.397,34.18,202.637,33.691,10.742
1688994410.401,48.34,221.68,34.18,13.672
1688994410.405,65.918,258.301,48.34,25.879
1688994410.409,59.57,247.559,39.062,9.277
1688994410.413,35.156,227.051,20.996,-12.207
1688994410.416,20.508,239.258,10.742,-11.23
1688994410.42,30.273,260.742,5.371,-4.395
1688994410.424,25.391,277.832,10.742,5.859
1688994410.428,3.418,285.645,18.555,-12.207
1688994410.432,-6.348,290.527,27.832,-22.949
1688994410.436,-6.836,290.039,28.32,-16.602
1688994410.44,-4.395,277.832,19.531,-23.926
1688994410.444,-1.953,278.32,20.508,-24.414
1688994410.448,-5.859,276.855,22.949,-32.715
1688994410.452,-11.23,270.508,21.973,-36.133
1688994410.455,-4.395,267.09,11.23,-17.578
1688994410.459,0.488,254.883,7.812,-12.695
1688994410.463,-4.395,243.652,14.16,-27.344
1688994410.467,-1.953,237.793,14.16,-38.086
1688994410.471,-7.324,230.469,16.113,-39.062
1688994410.475,-11.23,230.957,14.16,-34.18
1688994410.479,-4.883,228.516,8.301,-26.855
1688994410.483,-4.395,221.191,3.906,-23.926
1688994410.487,-12.207,213.867,-2.93,-31.25
1688994410.491,-15.137,208.008,-1.953,-36.133
1688994410.495,-12.207,202.148,-1.465,-33.203
1688994410.498,-4.883,194.824,-7.324,-20.02
1688994410.502,-1.465,187.988,-8.789,-12.695
1688994410.506,-12.695,186.523,-14.648,-20.02
1688994410.51,-10.742,190.918,-14.648,-28.809
1688994410.514,-4.395,185.547,-14.16,-25.391
1688994410.518,-6.348,174.316,-9.277,-14.648
1688994410.522,2.93,173.34,-4.883,-6.348
1688994410.526,15.137,172.363,-8.789,-3.906
1688994410.53,23.926,157.227,-4.883,-3.906
1688994410.534,24.902,146.484,-4.395,12.207
1688994410.537,27.832,151.367,-16.602,20.996
1688994410.541,30.273,148.926,-19.043,19.043
1688994410.545,27.832,143.066,-6.836,22.949
1688994410.549,30.762,139.16,-8.301,16.113
1688994410.553,35.645,132.812,-14.648,9.766
